Sample.Id,Cancer.Study,Cancer,ACBD3,BZRAP1,CYP11A1,CYP17A1,DBI,AR,BCL2,ESR1,HSD3B2,NFKB1,NFKB2,NKAP,NPC1,NPC2,NR5A1,POMC,PGR,SCARB1,SLC25A4,SLC25A6,SOAT1,STAR,STARD3,TSPO,VDAC1,CYP2W1,FDXR,FDX1,TRERF1
TCGA-AB-2802-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2803-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1274.6914,6412.5514,0,0,2407.4074,64.8148,1280.8642,2.0576,0,1095.679,154.321,398.1481,391.8519,1989.7119,57.6132,97.7366,3.4877,611.1111,13.3745,6205.7613,772.6337,2589.5062,882.716,858.0247,1992.7984,0,48.3539,582.3045,4816.8724
TCGA-AB-2804-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2805-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1311.9143,7250.3347,0,2.008,1547.5234,80.9906,578.3133,26.1044,0,2344.7122,884.8728,315.9304,1241.4458,1690.7631,0,0,0,596.3855,38.1526,5089.0228,1712.1821,44.1767,518.7416,507.3628,1910.9772,1.3387,57.5636,467.8715,1573.6278
TCGA-AB-2806-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1469.1279,6720.5602,0,0,584.3412,11.4577,2131.1267,2.5461,0,1391.4704,156.5882,274.9841,663.5901,542.3297,34.373,82.7498,0.6365,1763.8447,12.7307,3194.1439,1010.8211,864.4176,532.1451,380.6493,2352.0051,0,112.0306,493.9529,1443.0299
TCGA-AB-2807-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,827.2095,5502.4826,1.9861,0.993,758.6892,14.8957,3257.1996,110.2284,0,1274.0814,206.5541,277.0606,2003.7537,2039.7219,13.9027,2.9791,4.9652,2163.853,17.8749,7468.719,467.7259,49.6524,588.8779,218.4707,1470.7051,2.9791,68.5204,443.8928,1179.7418
TCGA-AB-2808-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1395.1296,1516.1037,0,0,719.5601,0,1186.1744,10.9976,0.7855,1772.9772,142.1838,286.7243,648.5703,1011.7832,24.3519,0,0.7855,660.6441,23.5664,6396.7007,1103.6921,198.7431,496.465,754.1241,2228.5939,4.7133,136.685,480.7541,1380.2042
TCGA-AB-2809-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2810-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,541.1491,2163.2795,0,0,1892.0467,2.6333,1024.3649,3.95,0,1755.1136,369.9827,358.1327,601.1231,1836.7468,0,18.4333,0,2056.6297,6.5833,15548.4895,321.2661,547.7324,846.6152,2477.9623,2005.2798,7.9,146.1497,559.5824,2159.3296
TCGA-AB-2811-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1057.7849,1895.6661,0,0,1161.0487,1.0701,222.5789,20.3317,1.0701,2731.4072,5585.8748,197.9668,582.3649,4429.1065,9.6308,3.7453,0,1002.6752,12.306,25553.7721,1516.3189,279.2937,1914.3927,7093.0979,1431.7817,1.6051,155.6982,447.8331,1105.939
TCGA-AB-2812-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1311.1452,4650.7554,0,0.8758,538.6468,0,2022.3341,2.6275,0,1682.5049,202.321,273.2647,616.5973,854.8281,28.903,44.6683,0,1186.7747,17.517,4646.3762,931.0269,340.7051,498.3578,626.2317,2465.5135,3.5034,174.2938,611.3422,2024.9617
TCGA-AB-2813-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1411.3346,4828.7629,0.8125,0.8125,1020.5159,0,479.3825,47.1257,0,2030.4692,853.1383,302.2547,703.5222,4250.2539,5.6876,2.4375,0.8125,1372.3339,39.0006,3424.741,2387.9748,281.9419,868.5761,4221.816,920.5769,0.8125,75.5637,391.6311,1815.1534
TCGA-AB-2814-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1333.0685,906.4548,0,1.5889,316.9811,0,1845.4816,74.6773,0,981.1321,354.3198,294.7368,673.4379,567.2294,0,44.4886,0,1331.4796,7.15,7861.7676,687.1897,151.7378,672.0953,285.2036,2001.1917,3.9722,333.6643,352.7309,578.3515
TCGA-AB-2815-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1341.7448,2236.4816,0.721,0.721,2006.4888,152.1269,1403.0281,5.0469,0,3170.8724,332.372,257.3901,874.7513,1837.7794,2.8839,28.1182,0,944.4845,15.1406,5660.4182,2177.3612,275.4146,747.6568,1375.6309,2072.0981,0,86.5177,327.3252,2360.4903
TCGA-AB-2816-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,920.1923,1194.2308,0,0.9615,1379.8077,13.4615,825.9615,16.3462,0,2439.4231,1093.2692,225.9615,480.6346,1898.0769,10.5769,45.1923,0,675.9615,26.9231,4273.0769,1412.5,129.8077,733.6538,1252.8846,1300,0.9615,90.3846,571.1538,1780.7692
TCGA-AB-2817-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,856.7194,5313.2411,0,0.9881,652.1739,60.2767,849.8024,59.2885,0,2002.9644,647.2332,230.2372,1195.7905,1013.834,3.9526,69.17,0,1828.0632,19.7628,11909.0909,876.4822,87.9447,1220.3557,936.7589,1925.8893,2.9644,96.8379,435.7708,3026.6798
TCGA-AB-2818-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1287.1621,5436.3483,0.7882,0,933.2516,0,623.4814,3.1529,0,2176.2734,537.5655,320.017,908.8562,1711.224,4.7293,28.3759,0,495.7899,12.6115,3479.9881,1693.8832,401.2036,708.6091,1153.1648,1291.8914,0,164.7378,352.334,2318.9411
TCGA-AB-2819-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1399.0318,3808.4371,0,0,1022.13,11.065,860.3043,2.7663,0,2278.0083,313.278,354.7718,600.6985,1283.5408,112.0332,24.2047,0.6916,2359.6127,21.4385,8883.1259,1199.8617,1020.0553,693.6376,983.4025,5098.2019,2.7663,201.9364,755.8783,2054.6335
TCGA-AB-2820-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1216.5605,1139.0658,0,0,485.138,23.3546,1668.7898,11.6773,0,1514.862,929.9363,142.2505,1390.4883,628.4501,47.7707,66.879,0,1469.2144,10.6157,5042.4628,713.3758,56.2633,792.9936,596.603,1252.6539,9.5541,40.3397,636.9427,938.4289
TCGA-AB-2821-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,858.9612,19517.9635,2.4636,0,574.0094,113.3238,1661.2605,55.8407,0,2609.7311,848.2858,282.4882,817.1874,864.7095,41.8805,2.4636,3.2847,2195.853,59.1254,7557.3804,830.2197,1600.4927,688.9756,887.7027,1726.1343,11.4966,105.1119,282.4882,1682.6114
TCGA-AB-2822-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1175.779,3514.0114,0,0.7839,868.5087,565.1578,2966.0984,17.2448,0,1268.2736,188.9085,314.3249,599.7021,892.0243,0.7839,9.4062,0,1773.0747,15.6771,6285.7143,543.2099,655.3008,670.9779,474.2308,1320.0078,10.1901,61.9244,348.8144,620.8113
TCGA-AB-2823-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1170.8456,1938.655,0.6377,0.6377,1575.1572,252.5353,1821.953,1.2754,0,1457.1798,279.9571,237.8679,809.6308,873.0324,33.7989,95.6573,0,1018.4316,1.2754,5279.6462,668.3258,216.8233,682.9932,1105.1609,2723.6827,0,79.0767,437.4728,3056.5701
TCGA-AB-2824-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1106.4468,842.5787,0,10.4948,620.6897,1.4993,676.1619,31.4843,0,1908.5457,496.2519,338.8306,707.6462,1152.9235,16.4918,133.4333,1.4993,806.5967,53.973,10673.1634,1034.4828,335.8321,674.6627,2049.4753,2316.3418,0,404.7976,235.3823,2056.9715
TCGA-AB-2825-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,963.2881,259.3775,0,0,1260.9737,1.5962,323.2243,15.1636,0,2538.7071,689.5451,248.2043,1077.071,1458.8986,3.1923,1.5962,0,882.6816,15.1636,6432.5619,2531.5243,138.8667,779.7287,2734.2378,1536.3128,0.7981,354.3496,306.4645,1624.9002
TCGA-AB-2826-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1309.0379,762.8766,0,0,1417.8814,0,932.9446,0.9718,0,2149.6599,493.6832,506.3168,686.5403,2043.7318,2.9155,2.9155,0,410.1069,34.0136,5476.1905,1747.3275,325.5588,547.1331,1303.207,2021.38,3.8873,137.0262,378.0369,2642.3712
