Sample.Id,Cancer.Study,Cancer,ACBD3,BZRAP1,CYP11A1,CYP17A1,DBI,AR,BCL2,ESR1,HSD3B2,NFKB1,NFKB2,NKAP,NPC1,NPC2,NR5A1,POMC,PGR,SCARB1,SLC25A4,SLC25A6,SOAT1,STAR,STARD3,TSPO,VDAC1,CYP2W1,FDXR,FDX1,TRERF1
TCGA-AB-2802-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2803-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,-0.335106559,4.331854519,-0.084790719,-0.076307819,-0.308503751,-0.313478582,0.303639,-0.329588462,-0.060697715,-0.258538464,-1.136000854,0.009370029,-0.862346942,-0.435690307,-0.066173302,0.048027186,-0.229318992,-0.241237435,-0.994793047,-0.832012794,-0.229375967,0.103740449,-0.179964482,-0.749841705,-1.159978638,-0.161276261,-0.303597359,-0.041543707,10.24509263
TCGA-AB-2804-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2805-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,-0.283262862,4.960992021,-0.084790719,-0.076222739,-0.572937332,-0.274202531,-0.311210291,-0.32532681,-0.060697715,1.773374997,-0.399931938,-0.497374679,-0.085893471,-0.458409093,-0.098775779,-0.090974472,-0.230710789,-0.24308312,-0.971530666,-0.966525837,0.565057698,-0.085671078,-0.350041633,-0.908992803,-1.194313393,-0.158971795,-0.299437586,-0.102625244,2.693594718
TCGA-AB-2806-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,-0.064297271,4.563155247,-0.084790719,-0.076307819,-0.869137421,-0.443033607,1.047760593,-0.329501889,-0.060697715,0.222651729,-1.133716532,-0.749745164,-0.614002329,-0.545684951,-0.079324596,0.026712857,-0.230456788,-0.096755464,-0.995397464,-1.194767208,-0.027976987,-0.024632583,-0.343778475,-0.966502879,-1.009244181,-0.161276261,-0.274836314,-0.088703631,2.389513499
TCGA-AB-2807-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,-0.95835505,3.648433865,-0.084444814,-0.076265745,-0.815521508,-0.434685887,2.033262319,-0.310418079,-0.060697715,0.031684596,-1.08337329,-0.736946759,0.610788338,-0.431889768,-0.090908442,-0.086737575,-0.228729383,-0.046618999,-0.990567944,-0.679887401,-0.487190276,-0.085263602,-0.317268498,-1.040109114,-1.379065447,-0.156147977,-0.294488696,-0.115424488,1.776479398
TCGA-AB-2808-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,-0.167361392,0.654842967,-0.084790719,-0.076307819,-0.827554582,-0.470853759,0.220769621,-0.328004086,-0.060485831,0.843282792,-1.148229713,-0.677385024,-0.627729094,-0.510008562,-0.084995391,-0.090974472,-0.230397328,-0.23502904,-0.985224603,-0.80901382,0.05054994,-0.074168968,-0.360450993,-0.796997939,-1.061031411,-0.153162689,-0.263700588,-0.095748827,2.24323155
TCGA-AB-2809-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2810-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,-1.356777227,1.140842826,-0.084790719,-0.076307819,-0.466988704,-0.46445991,0.079159303,-0.329253085,-0.060697715,0.814222484,-0.91871048,-0.2372629,-0.671091626,-0.447314978,-0.098775779,-0.064758507,-0.230710789,-0.060058213,-1.001168817,0.293334634,-0.611029128,-0.048198816,-0.196833584,-0.014618268,-1.154741049,-0.147677037,-0.259425638,-0.053672209,4.05732964
TCGA-AB-2811-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,-0.637211848,0.939877223,-0.084790719,-0.076307819,-0.691786954,-0.468255476,-0.622537262,-0.326349866,-0.060409062,2.402446166,4.336571955,-1.224437464,-0.688234957,-0.250307107,-0.093325849,-0.085647881,-0.230710789,-0.192159354,-0.995796185,1.49848786,0.399445879,-0.068174769,0.302115119,2.080003066,-1.395398933,-0.158513209,-0.255112839,-0.113321252,1.604638615
